# MEAN_SAMPLE_SIZE = 15368
# TOTAL_GENES = 19213
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      23       0.1021    0.0035307      0.18102      0.28637 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      42    -0.057388   -0.0026803      0.12859       0.6723 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7    -0.033262  -0.00063479      0.29075      0.54554 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13     -0.11968   -0.0031121      0.22854      0.69974 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16   -0.0031991  -9.2282e-05      0.24543       0.5052 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13      0.12486    0.0032469      0.22784      0.29184 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41    -0.027517   -0.0012698      0.14945      0.57304 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18     0.059884    0.0018321      0.19462      0.37916 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      32      0.10448    0.0042604      0.14467      0.23509 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28      0.17493    0.0066733      0.16064      0.13809 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20      0.07737     0.002495      0.18345      0.33661 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26     0.094624    0.0034786      0.17578      0.29519 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      42      0.10339     0.004829      0.12551      0.20504 ABRAMSON_INTERACT_WITH_AIRE
