# MEAN_SAMPLE_SIZE = 15368
# TOTAL_GENES = 17360
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17360    0.0041052    0.0080643     0.013733       0.3825
Adrenal_Gland       COVAR   17360      0.01249     0.024123      0.01049      0.11691
Bladder             COVAR   17360  -0.00030644  -0.00059763     0.016418      0.50745
Blood               COVAR   17360    0.0013503    0.0024258    0.0064126      0.41661
Blood_Vessel        COVAR   17360     0.013254     0.026906     0.012116        0.137
Brain               COVAR   17360    0.0056475    0.0098146     0.007034      0.21103
Breast              COVAR   17360    -0.012573    -0.024194     0.016045      0.78336
Cervix_Uteri        COVAR   17360     0.011106      0.02183     0.014644      0.22411
Colon               COVAR   17360     0.015419      0.02888     0.016158      0.16997
Esophagus           COVAR   17360    -0.005668    -0.010684     0.017639      0.62602
Fallopian_Tube      COVAR   17360     0.014802     0.028735     0.014355      0.15125
Heart               COVAR   17360    0.0079876     0.013752    0.0099615      0.21133
Kidney              COVAR   17360    -0.016749    -0.029487    0.0095047      0.96097
Liver               COVAR   17360   -0.0048246   -0.0086911    0.0066538       0.7658
Lung                COVAR   17360    0.0017882    0.0034593     0.010804      0.43427
Muscle              COVAR   17360      0.01087     0.020568    0.0071906     0.065312
Nerve               COVAR   17360    0.0087425     0.017607     0.010564      0.20396
Ovary               COVAR   17360     0.016539     0.033543     0.010449     0.056748
Pancreas            COVAR   17360    -0.014999    -0.025097    0.0090432      0.95139
Pituitary           COVAR   17360    0.0044443    0.0082915     0.008521      0.30099
Prostate            COVAR   17360     0.016365     0.031069     0.014209      0.12472
Salivary_Gland      COVAR   17360    -0.018654    -0.034737     0.011011      0.95487
Skin                COVAR   17360    -0.016441    -0.031364     0.010258      0.94549
Small_Intestine     COVAR   17360    -0.004966   -0.0091376     0.010937       0.6751
Spleen              COVAR   17360    0.0039441    0.0078192    0.0080327      0.31172
Stomach             COVAR   17360     -0.01928    -0.035048      0.01383      0.91833
Testis              COVAR   17360   -0.0010549   -0.0018226    0.0057022      0.57339
Thyroid             COVAR   17360    -0.033864    -0.067104     0.011227      0.99872
Uterus              COVAR   17360     0.012205      0.02488     0.012392      0.16234
Vagina              COVAR   17360    -0.012947    -0.024771     0.013164       0.8373
