annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	7	0.0686274509803922	7.36148749050736	5.21601403107784e-05
UTR5	71546	0.00285251910856087	0	0	0	1
downstream	284177	0.0113300579027968	3	0.0294117647058824	2.5959059484261	0.110026153180864
exonic	254736	0.0101562534263042	3	0.0294117647058824	2.89592662484251	0.0860875468823653
intergenic	11684523	0.465858680176655	39	0.382352941176471	0.820748775211146	0.0925743324758275
intronic	9137749	0.364319509570527	44	0.431372549019608	1.18405009253588	0.180774969416165
ncRNA_exonic	259951	0.0103641740249561	0	0	0	0.630893241186873
ncRNA_intronic	2884355	0.114998431126451	2	0.0196078431372549	0.170505309900222	0.000861480532530076
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	0	0	0	1
upstream	266686	0.0106326966005879	4	0.0392156862745098	3.6882164278384	0.0238806508460085
