# MEAN_SAMPLE_SIZE = 15368
# TOTAL_GENES = 19074
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      23      0.10438    0.0036224      0.17989      0.28089 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      41    -0.054789   -0.0025375      0.12831      0.66531 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7    -0.031976  -0.00061247      0.28894      0.54406 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13     -0.11725   -0.0030601      0.22712      0.69716 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16  -0.00088397  -2.5592e-05       0.2439      0.50145 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13      0.12661    0.0033044      0.22642      0.28802 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41    -0.026496   -0.0012272      0.14852       0.5708 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18     0.061318    0.0018828      0.19341      0.37561 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      31      0.11897    0.0047925      0.14418      0.20465 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      26      0.16631    0.0061361       0.1698      0.16369 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20     0.078545    0.0025421      0.18231       0.3333 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26     0.096867     0.003574      0.17469      0.28961 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
