# MEAN_SAMPLE_SIZE = 15368
# TOTAL_GENES = 17233
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17233   -0.0015234   -0.0030397     0.010903      0.55556 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17233   -0.0029474    -0.005723     0.011214      0.60366 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17233    0.0083734     0.016155      0.01017      0.20517 Adrenal_Gland
Artery_Aorta                        COVAR   17233    0.0093632     0.019106     0.010372      0.18333 Artery_Aorta
Artery_Coronary                     COVAR   17233    0.0094352     0.018778     0.011988      0.21564 Artery_Coronary
Artery_Tibial                       COVAR   17233     0.006095     0.012548     0.010156      0.27421 Artery_Tibial
Bladder                             COVAR   17233   -0.0036371   -0.0070891      0.01327      0.60799 Bladder
Brain_Amygdala                      COVAR   17233    0.0097994     0.016689    0.0080544      0.11188 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17233     0.007645     0.013503    0.0073754      0.14998 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17233    0.0055397     0.009566    0.0080219      0.24492 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17233    0.0013372    0.0026835    0.0062168      0.41485 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17233    0.0023975    0.0047593    0.0064048      0.35408 Brain_Cerebellum
Brain_Cortex                        COVAR   17233    0.0059344     0.010821    0.0072405      0.20622 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17233    0.0053656    0.0098866    0.0070013      0.22173 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17233    0.0087567     0.014823    0.0081711      0.14194 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17233    0.0081884     0.014089    0.0082667      0.16097 Brain_Hypothalamus
