# MEAN_SAMPLE_SIZE = 15368
# TOTAL_GENES = 17233
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17233    0.0017251     0.003386      0.01369      0.44986
Adrenal_Gland       COVAR   17233     0.012048     0.023244     0.010446      0.12439
Bladder             COVAR   17233    0.0017772    0.0034639     0.016336      0.45668
Blood               COVAR   17233  -0.00046582  -0.00083459    0.0063958      0.52903
Blood_Vessel        COVAR   17233     0.014463     0.029344     0.012067      0.11536
Brain               COVAR   17233    0.0071469      0.01241     0.007025       0.1545
Breast              COVAR   17233    -0.015303    -0.029423     0.015987      0.83076
Cervix_Uteri        COVAR   17233     0.012743     0.025035     0.014605      0.19146
Colon               COVAR   17233     0.016319     0.030541     0.016076      0.15504
Esophagus           COVAR   17233   -0.0012983   -0.0024454     0.017599       0.5294
Fallopian_Tube      COVAR   17233     0.014404     0.027945     0.014302      0.15693
Heart               COVAR   17233    0.0086631       0.0149      0.00993       0.1915
Kidney              COVAR   17233    -0.019114    -0.033604    0.0095137      0.97773
Liver               COVAR   17233   -0.0046672   -0.0083987    0.0066448      0.75877
Lung                COVAR   17233   -0.0013071   -0.0025272     0.010818      0.54808
Muscle              COVAR   17233     0.012152     0.022985    0.0071678     0.045021
Nerve               COVAR   17233    0.0077339     0.015566     0.010518      0.23108
Ovary               COVAR   17233     0.019361     0.039245     0.010411     0.031482
Pancreas            COVAR   17233    -0.014473    -0.024191    0.0090098      0.94589
Pituitary           COVAR   17233    0.0042924    0.0080001    0.0085039      0.30687
Prostate            COVAR   17233     0.016689     0.031658     0.014186      0.11972
Salivary_Gland      COVAR   17233    -0.018167    -0.033808      0.01097      0.95114
Skin                COVAR   17233    -0.014127    -0.026941     0.010245      0.91603
Small_Intestine     COVAR   17233   -0.0086702    -0.015939     0.010905      0.78671
Spleen              COVAR   17233   0.00096023    0.0019019    0.0080099      0.45229
Stomach             COVAR   17233    -0.017444    -0.031682     0.013786      0.89711
Testis              COVAR   17233  -0.00016477  -0.00028453    0.0056836      0.51156
Thyroid             COVAR   17233    -0.034817    -0.068958     0.011179      0.99908
Uterus              COVAR   17233     0.012571     0.025615      0.01236      0.15457
Vagina              COVAR   17233    -0.010469    -0.020022     0.013143      0.78713
