ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000081026	MAGI3	1	113933371	114228545	1	protein_coding	260425	MAGI3	0.570580157400499	-0.477318183	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	4.395e-08	rs2476601	1
ENSG00000116793	PHTF1	1	114239453	114302111	-1	protein_coding	10745	PHTF1	5.47464863886936e-18	-0.796157733	1	1.651	0	NA	NA	NA	NA	No	NA	4.576e-08	rs2476601	1
ENSG00000081019	RSBN1	1	114304454	114355098	-1	protein_coding	54665	RSBN1	0.805139687607845	-1.870914401	1	1.651	0	NA	NA	NA	NA	Yes	Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	4.395e-08	rs2476601	1
ENSG00000134242	PTPN22	1	114356433	114414381	-1	protein_coding	26191	PTPN22	3.0777571006681e-16	-0.402711238	1	17.25	0	NA	NA	NA	NA	Yes	GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	4.395e-08	rs2476601	1
ENSG00000188761	BCL2L15	1	114420790	114430169	-1	protein_coding	440603	BCL2L15	0.00361468827063082	-0.02199877	0	0	0	NA	NA	NA	NA	Yes	GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	4.395e-08	rs2476601	1
ENSG00000134262	AP4B1	1	114437370	114447823	-1	protein_coding	10717	AP4B1	2.69463741752042e-08	-0.248524034	0	0	0	NA	NA	NA	NA	Yes	Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	4.395e-08	rs2476601	1
ENSG00000118655	DCLRE1B	1	114447763	114456708	1	protein_coding	64858	DCLRE1B	0.107858132118987	-0.438429642	0	0	0	NA	NA	NA	NA	Yes	Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	4.395e-08	rs2476601	1
ENSG00000163349	HIPK1	1	114471814	114520426	1	protein_coding	204851	HIPK1	0.999942914529477	-1.592465905	0	0	0	NA	NA	NA	NA	Yes	Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	4.395e-08	rs2476601	1
ENSG00000116752	BCAS2	1	115110178	115124260	-1	protein_coding	10286	BCAS2	6.52504489211884e-05	-0.483147357	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:Mesendoderm	4.395e-08	rs2476601	1
ENSG00000175984	DENND2C	1	115125469	115213043	-1	protein_coding	163259	DENND2C	1.70408687930238e-07	-0.807551207	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:Mesendoderm	4.395e-08	rs2476601	1
