GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	728532	774137	41	4	15368	-2.6256	0.99568	AL669831.1
ENSG00000269308	1	783043	829983	46	8	15368	0.26062	0.39719	AL645608.2
ENSG00000187634	1	825260	889955	187	24	15368	-1.1139	0.86733	SAMD11
ENSG00000268179	1	851264	901445	144	22	15368	-0.095896	0.5382	AL645608.1
ENSG00000187961	1	860967	911095	142	24	15368	0.028461	0.48865	KLHL17
ENSG00000187583	1	866877	921245	163	28	15368	0.26556	0.39529	PLEKHN1
ENSG00000188976	1	869584	929689	184	28	15368	0.65264	0.25699	NOC2L
ENSG00000187642	1	900579	952497	178	21	15368	0.91773	0.17938	C1orf170
ENSG00000187608	1	913803	959920	159	16	15368	0.89728	0.18479	ISG15
ENSG00000188157	1	920503	1001496	238	25	15368	0.45706	0.32381	AGRN
ENSG00000188290	1	924342	970552	137	14	15368	0.73931	0.22986	HES4
ENSG00000237330	1	996346	1044687	130	17	15368	-0.29991	0.61788	RNF223
ENSG00000131591	1	1007198	1086741	263	22	15368	-0.411	0.65946	C1orf159
ENSG00000162571	1	1074264	1143315	286	31	15368	-0.78066	0.7825	TTLL10
ENSG00000186891	1	1128888	1177071	201	14	15368	-2.3559	0.99076	TNFRSF18
ENSG00000176022	1	1132629	1180421	193	13	15368	-2.4952	0.9937	B3GALT6
ENSG00000186827	1	1136706	1184518	187	12	15368	-2.4965	0.99373	TNFRSF4
ENSG00000078808	1	1142288	1202411	219	15	15368	-2.4119	0.99207	SDF4
ENSG00000184163	1	1167826	1217102	143	16	15368	-2.4067	0.99195	FAM132A
ENSG00000160087	1	1179289	1244265	165	19	15368	-2.6909	0.99644	UBE2J2
ENSG00000162572	1	1180816	1237409	143	17	15368	-2.5976	0.99531	SCNN1D
ENSG00000169972	1	1208947	1257057	112	15	15368	-2.6257	0.99568	PUSL1
ENSG00000131584	1	1217756	1279989	137	18	15368	-1.9218	0.97269	ACAP3
ENSG00000224051	1	1225136	1274277	106	14	15368	-1.656	0.95114	GLTPD1
ENSG00000169962	1	1231694	1280686	107	12	15368	-1.3962	0.91868	TAS1R3
ENSG00000127054	1	1236965	1295071	129	13	15368	-1.2929	0.90197	CPSF3L
ENSG00000107404	1	1260656	1319730	205	17	15368	-0.8886	0.81289	DVL1
ENSG00000162576	1	1278069	1332157	164	14	15368	-0.78744	0.78449	MXRA8
ENSG00000175756	1	1299110	1345875	143	14	15368	-0.73653	0.7693	AURKAIP1
ENSG00000224870	1	1299902	1347426	139	14	15368	-0.83286	0.79754	RP4-758J18.2
ENSG00000221978	1	1311091	1369708	149	13	15368	-0.76025	0.77645	CCNL2
ENSG00000205116	1	1326508	1373167	112	12	15368	-0.59661	0.72462	TMEM88B
ENSG00000242485	1	1327288	1377693	127	14	15368	-0.73263	0.76811	MRPL20
ENSG00000179403	1	1335241	1388262	144	17	15368	-0.64703	0.74119	VWA1
ENSG00000235098	1	1343800	1392149	131	16	15368	-0.39848	0.65486	ANKRD65
ENSG00000215915	1	1350069	1415538	151	20	15368	0.15782	0.4373	ATAD3C
ENSG00000160072	1	1372143	1443228	138	14	15368	1.2853	0.099341	ATAD3B
ENSG00000197785	1	1412531	1480067	134	15	15368	2.0064	0.022406	ATAD3A
ENSG00000205090	1	1460554	1510833	127	14	15368	1.4255	0.077007	TMEM240
ENSG00000160075	1	1467053	1545249	204	24	15368	1.4607	0.072053	SSU72
ENSG00000215014	1	1475355	1521373	131	12	15368	1.6064	0.054094	AL645728.1
ENSG00000197530	1	1515795	1575990	116	15	15368	-0.7707	0.77956	MIB2
ENSG00000228594	1	1523392	1570476	98	12	15368	-1.2565	0.89553	C1orf233
ENSG00000189409	1	1532474	1580639	70	10	15368	-1.0802	0.85998	MMP23B
ENSG00000248333	1	1560603	1625473	74	13	15368	-0.54528	0.70722	CDK11B
ENSG00000189339	1	1582939	1659167	102	15	15368	0.41556	0.33887	SLC35E2B
ENSG00000008128	1	1624169	1690766	96	11	15368	1.0068	0.15701	CDK11A
ENSG00000215790	1	1646277	1712431	127	14	15368	0.99236	0.16051	SLC35E2
ENSG00000008130	1	1672671	1746896	118	14	15368	0.77003	0.22064	NADK
ENSG00000078369	1	1706729	1857495	237	21	15368	0.30822	0.37896	GNB1
ENSG00000169885	1	1811266	1858735	103	11	15368	0.36857	0.35622	CALML6
ENSG00000178821	1	1839029	1885712	153	13	15368	-0.013381	0.50534	TMEM52
ENSG00000142609	1	1843396	1970276	422	36	15368	0.15777	0.43732	C1orf222
ENSG00000187730	1	1915780	1972192	163	23	15368	0.8617	0.19443	GABRD
ENSG00000067606	1	1946909	2126834	466	40	15368	1.4129	0.078849	PRKCZ
ENSG00000269554	1	2086237	2133179	86	13	15368	1.203	0.11449	AL590822.2
ENSG00000162585	1	2105903	2179159	145	25	15368	1.7061	0.043994	C1orf86
ENSG00000157933	1	2125134	2251558	296	40	15368	1.9499	0.025597	SKI
ENSG00000203301	1	2133360	2180620	104	20	15368	1.6823	0.046251	AL590822.1
ENSG00000269753	1	2223581	2269042	145	31	15368	0.60085	0.27397	AL589739.1
ENSG00000116151	1	2242692	2358146	415	54	15368	-0.335	0.63119	MORN1
ENSG00000157916	1	2288267	2346883	173	36	15368	-1.0722	0.85819	RER1
ENSG00000149527	1	2322419	2446969	402	58	15368	-1.1121	0.86695	PLCH2
ENSG00000157911	1	2326236	2380236	179	44	15368	-0.40004	0.65544	PEX10
ENSG00000157881	1	2429972	2493039	149	20	15368	-0.22882	0.59049	PANK4
ENSG00000197921	1	2450184	2496684	104	16	15368	0.18063	0.42833	HES5
ENSG00000157873	1	2452078	2506821	128	16	15368	0.043888	0.4825	TNFRSF14
ENSG00000157870	1	2482930	2532908	139	12	15368	-0.5884	0.72187	FAM213B
ENSG00000142606	1	2512078	2599481	208	13	15368	-0.90028	0.81602	MMEL1
ENSG00000215912	1	2557415	2753286	233	24	15368	-0.68684	0.75391	TTC34
ENSG00000169717	1	2903046	2949465	158	6	15368	1.1597	0.12309	ACTRT2
ENSG00000142611	1	2950732	3365185	1465	167	15368	0.28876	0.38638	PRDM16
ENSG00000130762	1	3335990	3407677	243	28	15368	1.3404	0.090059	ARHGEF16
ENSG00000162591	1	3396484	3563059	573	79	15368	0.80351	0.21084	MEGF6
ENSG00000158109	1	3506566	3556691	189	32	15368	-1.2891	0.90131	TPRG1L
ENSG00000078900	1	3534084	3662765	394	61	15368	2.2193	0.013234	TP73
ENSG00000116213	1	3537331	3604325	193	38	15368	-0.32254	0.62648	WRAP73
ENSG00000162592	1	3633962	3698209	240	37	15368	3.4723	0.00025799	CCDC27
ENSG00000235169	1	3654352	3702546	194	28	15368	2.2596	0.011923	SMIM1
ENSG00000130764	1	3686784	3748068	325	21	15368	0.02325	0.49073	LRRC47
ENSG00000116198	1	3718645	3808778	531	28	15368	-1.3014	0.90343	CEP104
ENSG00000169598	1	3738845	3811993	438	35	15368	-1.5601	0.94063	DFFB
ENSG00000198912	1	3795689	3851857	184	23	15368	-0.79077	0.78546	C1orf174
ENSG00000196581	1	4679792	4862594	808	92	15368	1.0124	0.15566	AJAP1
ENSG00000131697	1	5912871	6087533	498	25	15368	0.38327	0.35076	NPHP4
ENSG00000069424	1	6016526	6171253	439	57	15368	0.2037	0.41929	KCNAB2
ENSG00000268332	1	6090630	6136399	110	20	15368	-0.39115	0.65216	AL035406.1
ENSG00000116254	1	6151853	6275183	353	39	15368	0.27223	0.39272	CHD5
ENSG00000158286	1	6230535	6291359	118	17	15368	0.7301	0.23267	RNF207
ENSG00000116251	1	6231329	6304449	139	21	15368	0.96577	0.16708	RPL22
ENSG00000173673	1	6269252	6315638	82	12	15368	1.2412	0.10726	HES3
ENSG00000116237	1	6271253	6331032	118	17	15368	1.1112	0.13323	ICMT
ENSG00000158292	1	6297406	6356035	137	24	15368	0.7862	0.21588	GPR153
ENSG00000097021	1	6314329	6489451	618	29	15368	0.69246	0.24432	ACOT7
ENSG00000187017	1	6449848	6531430	251	21	15368	0.96013	0.16849	ESPN
ENSG00000069812	1	6462478	6519730	172	16	15368	1.0052	0.1574	HES2
ENSG00000215788	1	6511211	6561255	83	14	15368	-0.6908	0.75515	TNFRSF25
ENSG00000171680	1	6516152	6615121	221	20	15368	0.028573	0.4886	PLEKHG5
ENSG00000162408	1	6571407	6649595	165	9	15368	0.29544	0.38383	NOL9
ENSG00000173662	1	6580241	6649817	143	9	15368	0.14233	0.44341	TAS1R1
ENSG00000204859	1	6605061	6659340	86	14	15368	-0.16379	0.56505	ZBTB48
ENSG00000116273	1	6638745	6694093	54	11	15368	0.35463	0.36144	PHF13
ENSG00000162413	1	6640784	6709667	81	14	15368	0.56858	0.28482	KLHL21
ENSG00000041988	1	6649926	6705646	63	12	15368	0.72207	0.23512	THAP3
ENSG00000007923	1	6684228	6796984	172	17	15368	0.6175	0.26845	DNAJC11
ENSG00000171735	1	6810384	7839766	2606	202	15368	0.10235	0.45924	CAMTA1
ENSG00000049245	1	7796329	7851492	147	25	15368	0.015989	0.49362	VAMP3
ENSG00000049246	1	7809380	7915237	342	27	15368	0.20357	0.41934	PER3
ENSG00000049247	1	7893143	7948572	217	31	15368	0.17495	0.43056	UTS2
ENSG00000049249	1	7969907	8035926	111	15	15368	-0.49374	0.68926	TNFRSF9
ENSG00000116288	1	7979351	8055565	116	16	15368	-0.75536	0.77498	PARK7
ENSG00000116285	1	8054464	8121368	84	8	15368	-0.8589	0.8048	ERRFI1
ENSG00000162426	1	8342886	8414227	189	25	15368	1.2722	0.10165	SLC45A1
ENSG00000142599	1	8402457	8912702	746	30	15368	1.2271	0.10988	RERE
ENSG00000074800	1	8911061	8974308	126	18	15368	1.4967	0.06724	ENO1
ENSG00000131686	1	8970926	9045151	278	47	15368	0.39651	0.34587	CA6
ENSG00000197241	1	9053359	9121404	216	37	15368	-0.20961	0.58301	SLC2A7
ENSG00000142583	1	9085166	9183537	310	26	15368	-0.26249	0.60353	SLC2A5
ENSG00000180758	1	9150364	9224229	182	24	15368	-1.2266	0.89001	GPR157
ENSG00000049239	1	9259834	9341396	296	32	15368	0.93087	0.17596	H6PD
ENSG00000171621	1	9317939	9439591	500	71	15368	0.75231	0.22593	SPSB1
ENSG00000171612	1	9564541	9655237	115	14	15368	-0.18865	0.57482	SLC25A33
ENSG00000188807	1	9613932	9684935	82	10	15368	0.19835	0.42139	TMEM201
ENSG00000171608	1	9676790	9799172	216	37	15368	1.3136	0.094497	PIK3CD
ENSG00000179840	1	9702668	9749644	103	16	15368	1.5047	0.066203	C1orf200
ENSG00000171603	1	9779084	9919584	190	20	15368	0.06078	0.47577	CLSTN1
ENSG00000178585	1	9898334	10005394	138	23	15368	-0.27495	0.60832	CTNNBIP1
ENSG00000173614	1	9968486	10055559	146	18	15368	0.19581	0.42238	NMNAT1
ENSG00000162441	1	9972173	10038465	112	15	15368	0.28288	0.38863	LZIC
ENSG00000162444	1	10022264	10086078	114	12	15368	0.52379	0.30021	RBP7
ENSG00000130939	1	10057890	10251297	366	18	15368	0.98219	0.163	UBE4B
ENSG00000054523	1	10235863	10451661	657	18	15368	0.10762	0.45715	KIF1B
ENSG00000142657	1	10423649	10490201	184	19	15368	-0.30082	0.61822	PGD
ENSG00000175279	1	10455159	10522210	165	21	15368	-0.58642	0.7212	APITD1
ENSG00000251503	1	10455159	10522210	165	21	15368	-0.58642	0.7212	APITD1-CORT
ENSG00000241563	1	10474776	10521959	115	14	15368	-0.75178	0.77391	CORT
ENSG00000142655	1	10497345	10700815	453	33	15368	0.060769	0.47577	PEX14
ENSG00000160049	1	10506579	10567583	121	12	15368	-1.0221	0.84664	DFFA
ENSG00000130940	1	10686661	10891707	569	103	15368	1.1205	0.13125	CASZ1
ENSG00000175262	1	10996528	11077094	241	33	15368	-2.3407	0.99038	C1orf127
ENSG00000120948	1	11037414	11095796	134	17	15368	-1.6498	0.9505	TARDBP
ENSG00000009724	1	11076580	11142290	150	11	15368	-1.2945	0.90226	MASP2
ENSG00000116649	1	11104641	11155081	100	7	15368	-1.0392	0.85066	SRM
ENSG00000171824	1	11116675	11194938	149	9	15368	-0.88102	0.81085	EXOSC10
ENSG00000198793	1	11156592	11357564	370	13	15368	-1.0981	0.86393	MTOR
ENSG00000171819	1	11214398	11266038	89	5	15368	-0.93124	0.82414	ANGPTL7
ENSG00000120942	1	11298263	11366106	130	12	15368	-0.91445	0.81976	UBIAD1
ENSG00000204624	1	11504223	11607641	278	18	15368	1.0074	0.15686	PTCHD2
ENSG00000132879	1	11679432	11733384	148	30	15368	1.3033	0.096234	FBXO44
ENSG00000116663	1	11689181	11744411	165	34	15368	1.1989	0.11529	FBXO6
ENSG00000116661	1	11698424	11750842	155	33	15368	0.7494	0.22681	FBXO2
ENSG00000162490	1	11716786	11795914	226	45	15368	-0.28026	0.61036	DRAXIN
ENSG00000116670	1	11724537	11786707	182	36	15368	-0.32518	0.62748	MAD2L2
