GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs2476601	1	114303808	rs6679677	2018-09-05	29310926	Sharma A	2018-01-05	J Autoimmun	www.ncbi.nlm.nih.gov/pubmed/29310926	Identification of non-HLA genes associated with development of islet autoimmunity and type 1 diabetes in the prospective TEDDY cohort.	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	5,806 European ancestry children	NA	1p13.2	PTPN22	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.114	2E-6	5.69897000433602	(any IA)	1.46		Illumina [131847]	N
1	rs2476601	1	114303808	rs6679677	2018-09-05	29310926	Sharma A	2018-01-05	J Autoimmun	www.ncbi.nlm.nih.gov/pubmed/29310926	Identification of non-HLA genes associated with development of islet autoimmunity and type 1 diabetes in the prospective TEDDY cohort.	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	5,806 European ancestry children	NA	1p13.2	PTPN22	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.114	2E-6	5.69897000433602	(multiple-IA)	1.592		Illumina [131847]	N
1	rs2476601	1	114303808	rs6679677	2019-10-21	31174203	Liyanage UE	2019-06-07	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/31174203	Combined analysis of keratinocyte cancers identifies novel genome-wide loci.	Keratinocyte cancer (MTAG)	at least 18,538 European ancestry cases, at least 340,302 European ancestry controls	NA	1p13.2	PHTF1	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-C	rs6679677	0	6679677	upstream_gene_variant	1	0.897934	7E-11	10.1549019599857		1.1	[1.07-1.13]	Affymetrix [7600000] (imputed)	N
1	rs2476601	1	114303808	rs6679677	2020-09-23	32888494	Vuckovic D	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888494	The Polygenic and Monogenic Basis of Blood Traits and Diseases.	Basophil percentage of white cells	408,112 British individuals	NA	1p13.2	PHTF1	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.101227	2E-16	15.698970004336		0.030244133	[0.023-0.037] unit increase	Affymetrix [93095623] (imputed)	N
1	rs2476601	1	114303808	rs6679677	2019-03-11	30573655	Acosta-Herrera M	2018-12-20	Ann Rheum Dis	www.ncbi.nlm.nih.gov/pubmed/30573655	Genome-wide meta-analysis reveals shared new loci in systemic seropositive rheumatic diseases.	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	up to 4,595 European ancestry rheumatoid arthritis cases, up to 3,154 European ancestry systemic lupus erythematosus cases, up to 2,281 European ancestry systemic sclerosis cases, up to 1,674 European ancestry idiopathic inflammatory myopathy cases, 19,704 European ancestry controls	NA	1p13.2	PHTF1-RSBN1	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	NR	2E-28	27.698970004336		1.34	[1.21-1.49]	Illumina [6450125] (imputed)	N
1	rs2476601	1	114303808	rs6679677	2016-08-31	26301688	Li YR	2015-08-24	Nat Med	www.ncbi.nlm.nih.gov/pubmed/26301688	Meta-analysis of shared genetic architecture across ten pediatric autoimmune diseases.	Pediatric autoimmune diseases	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	NA	1p13.2	PTPN22	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.09	8E-11	10.0969100130081		NA		Illumina [7347414] (imputed)	N
1	rs2476601	1	114303808	rs6679677	2017-05-11	28029757	Merkel PA	2016-12-28	Arthritis Rheumatol	www.ncbi.nlm.nih.gov/pubmed/28029757	Identification of Functional and Expression Polymorphisms Associated With Risk for Antineutrophil Cytoplasmic Autoantibody-Associated Vasculitis.	Antineutrophil cytoplasmic antibody-associated vasculitis	1,015 European ancestry granulomatosis with polyangiitis cases, 206 European ancestry microscopic polyangiitis cases, 3,258 European ancestry controls.	541 European ancestry granulomatosis with polyangiitis cases, 30 European ancestry microscopic polyangiitis cases, 1,465 European ancestry controls.	1p13.2	PTPN22	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.09	2E-8	7.69897000433602		1.4	1.25-1.57	Affymetrix [at least 333035] (imputed)	N
1	rs2476601	1	114303808	rs6679677	2008-09-25	18794853	Raychaudhuri S	2008-09-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18794853	Common variants at CD40 and other loci confer risk of rheumatoid arthritis.	Rheumatoid arthritis	3,393 European ancestry cases, 12,460 European ancestry controls	3,929 European ancestry cases, 5,807 European ancestry controls	1p13.2	PTPN22	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-?	rs6679677	0	6679677	upstream_gene_variant	1	0.10	6E-42	41.2218487496164		1.79	[1.65-1.94]	Affymetrix, Illumina [at least 315971] (imputed)	N
1	rs2476601	1	114303808	rs6679677	2012-05-25	22493691	Eriksson N	2012-04-06	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22493691	Novel associations for hypothyroidism include known autoimmune risk loci.	Hypothyroidism	3,736 European ancestry cases, 35,546 European ancestry controls	NA	1p13.2	PHTF1, RSBN1, PTPN22	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.091	3E-13	12.5228787452803		1.361	[1.25-1.48]	Illumina [870065]	N
1	rs2476601	1	114303808	rs6679677	2013-02-12	23128233	Jostins L	2012-11-01	Nature	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	Crohn's disease	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	Up to 25,683 European ancestry cases, up to 17,015 European ancestry controls	1p13.2	DCLRE1B, PTPN22	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-C	rs6679677	0	6679677	upstream_gene_variant	1	0.907	2E-15	14.698970004336		1.196	[1.129-1.268]	Affymetrix, Illumina [1230000] (imputed)	N
1	rs2476601	1	114303808	rs6679677	2008-06-16	17554300	Wellcome Trust Case Control Consortium	2007-06-07	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	Type 1 diabetes	1,963 European ancestry cases, 2,938 European ancestry controls	(see Todd 2007)	1p13.2	PTPN22	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.10	5E-26	25.301029995664		1.82	[1.59-2.09]	Affymetrix [469557]	N
1	rs2476601	1	114303808	rs6679677	2008-06-16	17554300	Wellcome Trust Case Control Consortium	2007-06-07	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	Rheumatoid arthritis	1,860 European ancestry cases, 2,938 European ancestry controls	NA	1p13.2	PTPN22	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.10	6E-25	24.2218487496164		1.98	[1.72-2.27]	Affymetrix [469557]	N
1	rs2476601	1	114303808	rs6679677	2008-11-26	18978792	Cooper JD	2008-11-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18978792	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	Type 1 diabetes	3,561 European ancestry cases, 4,646 European ancestry controls	6,225 European ancestry cases, 6,946 European ancestry controls, 3,064 European ancestry trios from 2,828 families	1p13.2	PTPN22	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	NR	1E-40	40		NA		Affymetrix [up to 335565]	N
1	rs2476601	1	114303808	rs6679677	2008-06-16	17554260	Todd JA	2007-06-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17554260	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	Type 1 diabetes	2,000 European ancestry cases, 3,000 European ancestry controls	2,997 European ancestry trios, 4,000 European ancestry cases, 5,000 European ancestry controls	1p13.2	PHTF1, PTPN22	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.10	8E-24	23.0969100130081		1.89	[1.67-2.13]	Affymetrix [NR]	N
1	rs2476601	1	114303808	rs6679677	2018-04-25	23603761	Hinks A	2013-04-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23603761	Dense genotyping of immune-related disease regions identifies 14 new susceptibility loci for juvenile idiopathic arthritis.	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	2,816 European ancestry cases, 13,056 European ancestry controls	NA	1p13.2	PTPN22	PHTF1 - RSBN1	ENSG00000116793	ENSG00000081019		1697	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.1	3E-25	24.5228787452803	(additive model)	1.59	[1.45-1.73]	Illumina [123003]	N
