# ALPHA = 0.05
# NUMBER_OF_TESTS = 17009

# _SET1_  VARIABLE = REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING (set)
# _SET1_  NGENES = 40
# _SET1_  P-VALUE = 1.94426e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000171608     1    9676790    9799172    216      37  15368       1.3137     0.094497    1.9984e-15       1.3137
_SET1_   ENSG00000182866     1   32681840   32761766     90      17  15368      0.14335       0.4424    2.1094e-15      0.14335
_SET1_   ENSG00000117461     1   46495812   46677160    282      20  15368      0.28931      0.36346    2.1094e-15      0.28931
_SET1_   ENSG00000162434     1   65288912   65467187    443      34  15368     -0.24799      0.59364    2.1094e-15     -0.24799
_SET1_   ENSG00000160691     1  154924774  154981871     56       9  15368       1.3201     0.086361    1.9984e-15       1.3201
_SET1_   ENSG00000115904     2   39198537   39386486    381      19  15368     -0.36267      0.63039    2.1094e-15     -0.36267
_SET1_   ENSG00000115415     2  191819084  191920686    203      32  15368       1.6932     0.045325    1.9984e-15       1.6932
_SET1_   ENSG00000138378     2  191884302  192051322    294      40  15368      0.36471      0.35308    2.1094e-15      0.36471
_SET1_   ENSG00000168918     2  233889677  234126549    744      62  15368      0.34013      0.35342    2.1094e-15      0.34013
_SET1_   ENSG00000091181     3    3101233    3203297    426      74  15368      -1.2822      0.90033    1.9984e-15      -1.2822
_SET1_   ENSG00000051382     3  138362860  138588780    294      10  15368       1.8552     0.024666    1.9984e-15       1.8552
_SET1_   ENSG00000121879     3  178830902  178967881    304      19  15368     -0.77759       0.7758    2.1094e-15     -0.77759
_SET1_   ENSG00000109471     4  123362625  123412880     82      13  15368    -0.012797      0.49946    2.1042e-15    -0.012797
_SET1_   ENSG00000138684     4  123523783  123577224    135      19  15368      0.22748      0.40543    2.1094e-15      0.22748
_SET1_   ENSG00000164136     4  142522752  142665140    319      25  15368      0.63625      0.25096    2.1094e-15      0.63625
_SET1_   ENSG00000145675     5   67476548   67607649    346      49  15368       2.4572     0.006974    2.2204e-15       2.4572
_SET1_   ENSG00000164399     5  131361222  131408897     86       6  15368       0.1878      0.38377    2.1094e-15       0.1878
_SET1_   ENSG00000164400     5  131374483  131421859     83       9  15368      0.46378      0.29562    2.1094e-15      0.46378
_SET1_   ENSG00000113525     5  131867136  131927530     67       8  15368       3.4233   0.00028577    2.2204e-15       3.4233
_SET1_   ENSG00000145839     5  135217935  135266516    193      17  15368       1.7735     0.036848    1.9984e-15       1.7735
_SET1_   ENSG00000135077     5  156502843  156604880    278      19  15368       2.0698     0.017967    2.2204e-15       2.0698
_SET1_   ENSG00000120899     8   27133999   27326903    501      30  15368     0.017229      0.46873     2.106e-15     0.017229
_SET1_   ENSG00000096968     9    4950033    5138183    451      25  15368    0.0082795      0.47119    2.1042e-15    0.0082795
_SET1_   ENSG00000165025     9   93529069   93670831    566      61  15368     -0.31676      0.61854    2.1094e-15     -0.31676
_SET1_   ENSG00000134470    10    5980855    6055150    273      54  15368       2.1887     0.014572    2.2204e-15       2.1887
_SET1_   ENSG00000134460    10    6042652    6139288    399      47  15368       2.9672    0.0014756    2.2204e-15       2.9672
_SET1_   ENSG00000165458    11   71899745   71960149    138      21  15368       1.9292     0.025446    1.9984e-15       1.9292
_SET1_   ENSG00000033327    11   77916343   78164394    451       9  15368      0.12467      0.42438    2.1094e-15      0.12467
_SET1_   ENSG00000111679    12    7020631    7080479     74      23  15368      0.82923      0.21089    2.1094e-15      0.82923
_SET1_   ENSG00000100485    14   50573847   50733276    445      22  15368       2.0629     0.017766    2.2204e-15       2.0629
_SET1_   ENSG00000103522    16   27378483   27472115    284      41  15368       2.9272    0.0016211    2.2204e-15       2.9272
_SET1_   ENSG00000168961    17   25921824   25986586    145      13  15368     -0.15331      0.54968    2.1094e-15     -0.15331
_SET1_   ENSG00000173757    17   40341186   40463725    144      16  15368      0.69012      0.24093    2.1094e-15      0.69012
_SET1_   ENSG00000126561    17   40404565   40473961    102       9  15368       0.4554      0.31266    2.1094e-15       0.4554
_SET1_   ENSG00000168610    17   40455342   40575586    245      23  15368       1.4532     0.069538    1.9984e-15       1.4532
_SET1_   ENSG00000177885    17   73304157   73436790    227      25  15368       1.7895     0.036776    1.9984e-15       1.7895
_SET1_   ENSG00000105639    19   17925589   17993880    206      37  15368      0.70237      0.24149    2.1094e-15      0.70237
_SET1_   ENSG00000105647    19   18228928   18291350    168      18  15368      -1.5926      0.94098    1.9984e-15      -1.5926
_SET1_   ENSG00000100368    22   37274670   37346491    281      32  15368        2.625    0.0039373    2.2204e-15        2.625
_SET1_   ENSG00000100385    22   37511878   37606094    297      50  15368       1.2136      0.10829    1.9984e-15       1.2136
