GenomicLocus	region1	region2	FDR	type	DB	tissue/cell	inter/intra	SNPs	genes	ciMapFilt
1	1:114300000-114310000	1:113680000-113690000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs6679677	NA	0
2	2:234520000-234530000	2:234120000-234130000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs17863762	NA	0
2	2:234520000-234530000	2:235510000-235520000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs17863762	NA	0
3	9:117650000-117660000	9:117470000-117480000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445	NA	0
3	9:117660000-117670000	9:118260000-118270000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087	NA	0
4	10:64380000-64390000	10:64620000-64630000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs12766377;rs12774545	NA	0
3	9:117670000-117680000	9:117500000-117510000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	NA	0
3	9:117647197-117647589	9:117647322-117647330	0	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs7049009	NA	0
3	9:117647197-117647589	9:117647355-117647366	0	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs7049009	NA	0
3	9:117660866-117661644	9:117642690-117642705	8.34395848336856e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs1322067;rs72756567	NA	0
3	9:117660866-117661644	9:117656279-117656326	8.95866889951375e-08	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs1322067;rs72756567	NA	0
3	9:117660866-117661644	9:117691566-117691581	1.31165054638748e-14	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs1322067;rs72756567	NA	0
3	9:117660866-117661644	9:117691705-117691728	2.62628924902323e-12	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs1322067;rs72756567	NA	0
3	9:117660866-117661644	9:117692437-117692442	1.02784841036638e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs1322067;rs72756567	ENSG00000106952	1
3	9:117660866-117661644	9:117692554-117692570	8.24755093395591e-08	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs1322067;rs72756567	ENSG00000106952	1
3	9:117660866-117661644	9:117692637-117692641	1.77192067145379e-09	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs1322067;rs72756567	ENSG00000106952	1
3	9:117660866-117661644	9:117692733-117692744	8.95598542636058e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs1322067;rs72756567	ENSG00000106952	1
3	9:117660866-117661644	9:117692787-117692876	9.09485737207606e-14	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs1322067;rs72756567	ENSG00000106952	1
